points,MIN_POINTS,MAX_POINTS,young,name,country,position,club,probability,points_raw,price,popularity,weekday,ID
4.674995601,-20,6,False,WOŁODYMYR KOSTEWYCZ,UKRAINA,OBROŃCA,KOTWICA KOŁOBRZEG,0.194791483,10,1.6,0,11,2390
6.954417859,-10,6,False,JAKUB BARTKOWSKI,POLSKA,OBROŃCA,WARTA POZNAŃ,0.267477610,22,1.8,0.03,11,2389
0,0,0,False,LEO PRZYBYLAK,POLSKA,BRAMKARZ,WARTA POZNAŃ,0.267477610,0,0.9,0,11,2388
0,0,0,False,BORYS OŁENIAK,POLSKA,BRAMKARZ,WARTA POZNAŃ,0.267477610,0,0.8,0,11,2387
8.352941176,10,6,False,TOMASZ BAŁA,POLSKA,NAPASTNIK,STAL RZESZÓW,0.464052288,34,1.5,0.07,11,2386
15.011260205,-10,7,False,SOMA NOVOTHNY,WĘGRY,NAPASTNIK,RUCH CHORZÓW,0.555972600,24,1.8,0.07,11,2385
0,0,0,False,MIKE HURAS,POLSKA,NAPASTNIK,RUCH CHORZÓW,0.555972600,0,1.7,0,11,2384
16.123205405,-10,9,False,DENIS VENTURA,SŁOWACJA,POMOCNIK,RUCH CHORZÓW,0.555972600,28,1.8,0.01,11,2383
10.007506803,-10,7,False,FILIP STARZYŃSKI,POLSKA,POMOCNIK,RUCH CHORZÓW,0.555972600,15,2,0.03,11,2382
5.003753402,0,2,False,JOSÉ ANTONIO NONO,HISZPANIA,POMOCNIK,RUCH CHORZÓW,0.555972600,11,1.8,0.01,11,2381
2.223890401,0,4,False,MATEUSZ CHMAREK,POLSKA,POMOCNIK,RUCH CHORZÓW,0.555972600,8,0.9,0.01,11,2380
8.339589003,-10,2,False,ANDREJ LUKIC,CHORWACJA,OBROŃCA,RUCH CHORZÓW,0.555972600,7,1.7,0.01,11,2379
0,0,2,False,KSAWERY KWIATKOWSKI,POLSKA,OBROŃCA,RUCH CHORZÓW,0.555972600,2,1.2,0,11,2378
16.123205405,-10,6,False,MARTIN KONCZKOWSKI,POLSKA,OBROŃCA,RUCH CHORZÓW,0.555972600,25,1.9,0.14,11,2377
4.880364776,0,9,False,ERJON HOXHALLARI,ALBANIA,OBROŃCA,POLONIA WARSZAWA,0.271131376,27,1.9,0.02,11,2376
0,0,0,False,BARTOSZ FALBIERSKI,POLSKA,POMOCNIK,POLONIA WARSZAWA,0.271131376,0,0.9,0,11,2375
2.038915094,-9,2,False,JORDAN DOMINGUEZ,HISZPANIA,POMOCNIK,ODRA OPOLE,0.156839623,6,1.8,0.01,11,2374
5.271971592,-9,2,False,JORDAN DOMINGUEZ,HISZPANIA,POMOCNIK,ODRA OPOLE,0.405536276,6,1.8,0.01,11,2374
0.811072553,0,3,False,SZYMON MIDA,POLSKA,POMOCNIK,ODRA OPOLE,0.405536276,5,0.5,0.02,11,2373
0.313679245,0,3,False,SZYMON MIDA,POLSKA,POMOCNIK,ODRA OPOLE,0.156839623,5,0.5,0.02,11,2373
19.046278374,0,10,False,BENEDIK MIOC,CHORWACJA,POMOCNIK,MIEDŹ LEGNICA,0.577159951,43,2.1,0.07,11,2372
1.731479852,0,2,False,OLIWIER SZYMONIAK,POLSKA,OBROŃCA,MIEDŹ LEGNICA,0.577159951,5,0.7,0.01,11,2371
0,0,0,False,JAKUB KACZEMBA,POLSKA,OBROŃCA,MIEDŹ LEGNICA,0.577159951,0,0.5,0.01,11,2370
0,0,0,False,KAY TEJAN,HOLANDIA,NAPASTNIK,ŁKS ŁÓDŹ,0.430653286,0,2.5,0.01,11,2369
0,0,0,False,OLIWIER SŁAWIŃSKI,POLSKA,NAPASTNIK,ŁKS ŁÓDŹ,0.430653286,0,1,0.01,11,2368
9.474372284,0,7,False,JĘDRZEJ ZAJĄC,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,29,1.2,0.01,11,2367
8.613065713,0,4,False,MATEUSZ WYSOKIŃSKI,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,24,1.4,0,11,2366
14.211558427,0,8,False,ANTONI MŁYNARCZYK,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,41,1.6,0.04,11,2365
1.722613143,0,3,False,JAN ŁABĘDZKI,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,7,1.1,0,11,2364
0,0,0,False,ALEKSANDER IWAŃCZYK,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,0,1.7,0,11,2363
0,0,0,False,RICARDO GONÇALVES DO NASCIMENTO,POLSKA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,0,1.8,0,11,2362
3.014573000,0,2,False,HUSEIN BALIĆ,AUSTRIA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,9,1.9,0.02,11,2360
19.379397854,0,10,False,ANDREU ARASA,HISZPANIA,POMOCNIK,ŁKS ŁÓDŹ,0.430653286,55,2.1,0.21,11,2359
9.474372284,-22,2,False,ANTONIO MAJCENIĆ,CHORWACJA,OBROŃCA,ŁKS ŁÓDŹ,0.430653286,2,1.8,0.01,11,2358
9.043718999,0,6,False,LEVENT GÜLEN,SZWAJCARIA,OBROŃCA,ŁKS ŁÓDŹ,0.430653286,27,1.9,0.03,11,2356
0,0,0,False,TOMASZ KUCHARSKI,POLSKA,BRAMKARZ,ŁKS ŁÓDŹ,0.430653286,0,0.7,0.01,11,2355
0,0,0,False,MICHAŁ WACHOWICZ,POLSKA,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,0,0.5,0,11,2354
0,0,0,False,SEBASTIAN SZCZYTNIEWSKI,POLSKA,OBROŃCA,GÓRNIK ŁĘCZNA,0.461168293,0,1.4,0,11,2353
6.917524395,0,6,False,KAMIL ORLIK,POLSKA,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,21,1.4,0.01,11,2352
6.917524395,0,4,False,PATRYK MALAMIS,POLSKA,POMOCNIK,GÓRNIK ŁĘCZNA,0.461168293,19,1.6,0,11,2351
6.456356102,0,6,False,DOMINYKAS BARAUSKAS,LITWA,OBROŃCA,GÓRNIK ŁĘCZNA,0.461168293,20,1.8,0.02,11,2350
8.575163399,-20,3,False,MAMIN SANYANG,GAMBIA,POMOCNIK,GKS TYCHY,0.267973856,15,1.8,0.01,11,2349
4.555555556,20,8,False,MARCEL LUBIK,POLSKA,BRAMKARZ,GKS TYCHY,0.267973856,45,1.7,0.07,11,2348
0.803921569,0,3,False,TOBIASZ KUBIK,POLSKA,POMOCNIK,GKS TYCHY,0.267973856,6,1.4,0,11,2347
4.019607843,0,4,False,MAKSYMILIAN DZIUBA,POLSKA,POMOCNIK,GKS TYCHY,0.267973856,19,1.4,0,11,2346
3.257623254,0,3,False,JAKUB RÓŻYCKI,POLSKA,POMOCNIK,BRUK-BET TERMALICA NIECIECZA,0.465374751,10,0.6,0,11,2345
0,0,0,False,JAKUB MARCINKOWSKI,POLSKA,OBROŃCA,ZNICZ PRUSZKÓW,0.313614720,0,1.3,0,11,2344
0,0,0,False,JAKUB MARCINKOWSKI,POLSKA,OBROŃCA,ZNICZ PRUSZKÓW,0.521436460,0,1.3,0,11,2344
13.495867769,10,7,False,ADRIÁN CHOVAN,SŁOWACJA,BRAMKARZ,BRUK-BET TERMALICA NIECIECZA,0.465374751,46,1.9,0.16,11,2343
12.437055252,0,8,False,HIDE VITALUCCI,WŁOCHY,POMOCNIK,ARKA GDYNIA,0.654581855,27,1.7,0.04,11,2342
11.127891541,20,13,False,JOÃO OLIVEIRA,SZWAJCARIA,POMOCNIK,ARKA GDYNIA,0.654581855,50,2,0.12,11,2341
1.963745566,0,5,False,KAMIL JAKUBCZYK,POLSKA,POMOCNIK,ARKA GDYNIA,0.654581855,8,1.2,0,11,2340
7.200400409,0,13,False,KIKE HERMOSO,HISZPANIA,OBROŃCA,ARKA GDYNIA,0.654581855,24,1.8,0.02,11,2339
0,0,0,False,KRYSTIAN TOFILSKI,POLSKA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,0,0.5,0.01,11,2338
-0.415126208,0,3,False,JAKUB SVEC,SŁOWACJA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,1,1.5,0,11,2337
1.868067937,-10,2,False,DAWID ŁĄCKI,POLSKA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,1,0.6,0.01,11,2336
2.490757249,0,2,False,KACPER CHEŁMECKI,POLSKA,NAPASTNIK,STAL STALOWA WOLA,0.207563104,14,0.9,0.04,11,2335
1.245378624,10,4,False,PATRYK ZAUCHA,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,20,1.6,0,11,2334
1.660504833,0,3,False,BARTOSZ PIOTERCZAK,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,11,1.2,0.01,11,2332
1.245378624,0,3,False,KRYSTIAN LELEK,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,9,1.5,0,11,2331
2.905883457,-10,4,False,ADAM IMIELA,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,8,1.5,0,11,2330
0,0,1,False,OSKAR BYSTREK,POLSKA,POMOCNIK,STAL STALOWA WOLA,0.207563104,1,0.5,0.01,11,2329
1.245378624,-10,12,False,DAMIAN URBAN,POLSKA,OBROŃCA,STAL STALOWA WOLA,0.207563104,8,1.4,0,11,2328
0,0,2,False,DAMIAN OKO,POLSKA,OBROŃCA,STAL STALOWA WOLA,0.207563104,2,1.6,0.01,11,2327
0,0,0,False,BORYS FREILICH,POLSKA,OBROŃCA,STAL STALOWA WOLA,0.207563104,0,1.3,0,11,2326
0,0,1,False,IGOR FEDEJKO,POLSKA,OBROŃCA,STAL STALOWA WOLA,0.207563104,1,0.5,0.06,11,2325
3.113446561,0,7,False,ADAM WILK,POLSKA,BRAMKARZ,STAL STALOWA WOLA,0.207563104,22,1.5,0.01,11,2323
0.207563104,0,3,False,MIKOŁAJ SMYŁEK,POLSKA,BRAMKARZ,STAL STALOWA WOLA,0.207563104,4,1.2,0.01,11,2321
2.301951203,0,11,False,MATEUSZ MAJEWSKI,POLSKA,NAPASTNIK,POGOŃ SIEDLCE,0.230195120,21,1.3,0.01,11,2319
0,0,0,False,CEZARY BUJALSKI,POLSKA,NAPASTNIK,POGOŃ SIEDLCE,0.230195120,0,0.5,0.02,11,2318
0,0,0,False,DANYY BABOR,POLSKA,NAPASTNIK,POGOŃ SIEDLCE,0.230195120,0,0.7,0.01,11,2317
2.301951203,0,3,False,OŁEKSIJ ZINKEWYCZ,UKRAINA,POMOCNIK,POGOŃ SIEDLCE,0.230195120,13,1.5,0,11,2316
0,0,0,False,BARTOSZ WICENCIAK,POLSKA,POMOCNIK,POGOŃ SIEDLCE,0.230195120,0,1.2,0,11,2315
0.460390241,10,8,False,DAMIAN SZUPRYTOWSKI,POLSKA,POMOCNIK,POGOŃ SIEDLCE,0.230195120,20,1.3,0,11,2314
3.222731684,0,6,False,DANIEL PIK,POLSKA,POMOCNIK,POGOŃ SIEDLCE,0.230195120,20,1.4,0,11,2313
0,0,0,False,OLIWIER MYSZKOWSKI,POLSKA,POMOCNIK,POGOŃ SIEDLCE,0.230195120,0,0.7,0,11,2312
2.071756083,0,3,False,MIŁOSZ DRĄG,POLSKA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,12,1.4,0,11,2311
0,0,0,False,KACPER BOGUSIEWICZ,POLSKA,POMOCNIK,POGOŃ SIEDLCE,0.230195120,0,0.8,0,11,2310
2.532146324,-10,2,False,JAKUB OKUSAMI,POLSKA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,3,0.9,0.01,11,2309
2.532146324,-10,2,False,KRYSTIAN MIŚ,POLSKA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,3,1.3,0,11,2308
0.690585361,0,2,False,ROBERT MAJEWSKI,POLSKA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,5,1.3,0,11,2307
4.834097527,-10,7,False,LUKAS HRNCLAR,SŁOWACJA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,18,1.5,0.02,11,2306
4.834097527,-20,3,False,CASSIO SANTIAGO DE ALMEIDA,BRAZYLIA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,4,1.4,0.01,11,2304
0.230195120,0,1,False,DAWID BURKA,POLSKA,OBROŃCA,POGOŃ SIEDLCE,0.230195120,2,1.3,0,11,2303
0,0,0,False,PATRYK SZATKOWSKI,POLSKA,BRAMKARZ,POGOŃ SIEDLCE,0.230195120,0,0.7,0.01,11,2302
0,0,0,False,KRZYSZTOF POPIOŁEK,POLSKA,BRAMKARZ,POGOŃ SIEDLCE,0.230195120,0,0.7,0.01,11,2301
2.532289284,0,5,False,LEON KREKOVIC,CHORWACJA,NAPASTNIK,KOTWICA KOŁOBRZEG,0.194791483,18,1.6,0.01,11,2299
2.337497800,0,11,False,JONATHAN JUNIOR,BRAZYLIA,NAPASTNIK,KOTWICA KOŁOBRZEG,0.194791483,23,1.7,0.05,11,2298
0,0,0,False,JAKUB ŻUBROWSKI,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,0,1.5,0,11,2297
0,0,1,False,TAFARA MADEMBO,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,1,0.6,0.01,11,2295
0,0,0,False,MICHAŁ LASEK,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,0,0.5,0.05,11,2294
4.090621151,10,10,False,MICHAŁ KOZAJDA,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,41,1.5,0.01,11,2293
2.532289284,0,8,False,MICHAŁ CYWIŃSKI,POLSKA,POMOCNIK,KOTWICA KOŁOBRZEG,0.194791483,21,1.3,0.02,11,2292
