"1","X","2","DATE","home_f","home_s","away_f","away_s","update-date"
"1.35","5.6","7.4","10.08. 20:15","POGOŃ SZCZECIN","POG","PGE FKS STAL MIELEC","STM","202408091607"
"2.5","3.4","2.8","11.08. 14:45","LECHIA GDAŃSK","LGD","KGHM ZAGŁĘBIE LUBIN","ZAG","202408091607"
"2.3","3.55","3.1","09.08. 18:00","RADOMIAK RADOM","RAD","GÓRNIK ZABRZE","GÓR","202408091607"
"1.64","3.8","6","12.08. 19:00","PIAST GLIWICE","PIA","GKS KATOWICE","GKS","202408121012"
"2.16","3.15","3.6","18.08. 14:45","ŚLĄSK WROCŁAW","ŚLA","KORONA KIELCE","KOR","202408131520"
"1.65","3.95","5","18.08. 17:30","LEGIA WARSZAWA","LEG","RADOMIAK RADOM","RAD","202408131520"
"2.25","3.25","3.25","16.08. 20:30","GKS KATOWICE","GKS","MOTOR LUBLIN","MOT","202408131520"
"1.61","3.95","5.4","17.08. 14:45","JAGIELLONIA BIAŁYSTOK","JAG","CRACOVIA","CRA","202408131520"
"3.85","3.2","2.02","19.08. 19:00","PGE FKS STAL MIELEC","STM","PIAST GLIWICE","PIA","202408131520"
"2.6","3.2","2.75","16.08. 18:00","PUSZCZA NIEPOŁOMICE","PUN","LECHIA GDAŃSK","LGD","202408131520"
"1.62","4.2","4.9","17.08. 20:15","POGOŃ SZCZECIN","POG","WIDZEW ŁÓDŹ","WID","202408131520"
"3.05","3.45","2.26","17.08. 17:30","KGHM ZAGŁĘBIE LUBIN","ZAG","LECH POZNAŃ","LPO","202408131520"
"3.95","3.45","1.93","18.08. 20:15","GÓRNIK ZABRZE","GÓR","RAKÓW CZĘSTOCHOWA","RCZ","202408131520"
"2.33","3.2","3.05","18.08. 14:30","BRUK-BET TERMALICA NIECIECZA","BBT","RUCH CHORZÓW","RCH","202408131521"
"2.37","3.2","2.95","17.08. 17:30","STAL RZESZÓW","STA","WARTA POZNAŃ","WAR","202408131521"
"2.23","3.25","3.15","17.08. 19:35","GKS TYCHY","TYC","ODRA OPOLE","ODR","202408131521"
"2.25","3.2","3.15","16.08. 18:00","STAL STALOWA WOLA","STW","CHROBRY GŁOGÓW","CHR","202408131521"
"2.9","3.45","2.32","17.08. 14:30","POLONIA WARSZAWA","POL","MIEDŹ LEGNICA","MIE","202408131521"
"1.44","4.4","6.6","18.08. 17:00","WISŁA PŁOCK","WPŁ","POGOŃ SIEDLCE","PGS","202408131521"
"1.73","3.7","4.5","16.08. 20:30","ŁKS ŁÓDŹ","ŁKS","KOTWICA KOŁOBRZEG","KOT","202408131521"
"2.37","3.2","2.95","18.08. 12:00","ZNICZ PRUSZKÓW","ZNI","GÓRNIK ŁĘCZNA","GKŁ","202408131521"
"2.23","3.55","2.95","19.08. 19:30","WISŁA KRAKÓW","WIS","ARKA GDYNIA","ARK","202408131521"
"3.25","3.4","2.18","21.08. 20:30","POGOŃ SIEDLCE","PGS","GKS TYCHY","TYC","202408201422"
"1.74","3.8","4.5","22.08. 17:30","MIEDŹ LEGNICA","MIE","ZNICZ PRUSZKÓW","ZNI","202408201422"
"2.55","3.4","2.7","20.08. 20:30","WARTA POZNAŃ","WAR","ŁKS ŁÓDŹ","ŁKS","202408201422"
"1.94","3.55","3.8","22.08. 19:00","ARKA GDYNIA","ARK","RUCH CHORZÓW","RCH","202408201422"
"2.4","3.3","3.05","20.08. 18:00","KOTWICA KOŁOBRZEG","KOT","POLONIA WARSZAWA","POL","202408201422"
"2.73","3.6","2.45","20.08. 20:30","CHROBRY GŁOGÓW","CHR","STAL RZESZÓW","STA","202408201422"
"2.17","3.6","3.1","21.08. 18:00","BRUK-BET TERMALICA NIECIECZA","BBT","WISŁA PŁOCK","WPŁ","202408201422"
"1.95","3.4","3.95","21.08. 20:30","ODRA OPOLE","ODR","STAL STALOWA WOLA","STW","202408201422"
"1.85","3.85","3.85","24.08. 14:00","WISŁA KRAKÓW","WIS","MIEDŹ LEGNICA","MIE","202408222212"
"1.95","3.6","3.7","24.08. 14:30","STAL STALOWA WOLA","STW","POGOŃ SIEDLCE","PGS","202408222212"
"1.7","3.85","4.7","25.08. 14:30","ŁKS ŁÓDŹ","ŁKS","CHROBRY GŁOGÓW","CHR","202408222212"
"2.17","3.45","3.15","26.08. 19:00","WISŁA PŁOCK","WPŁ","RUCH CHORZÓW","RCH","202408222212"
"1.68","4","4.6","25.08. 17:00","ARKA GDYNIA","ARK","GÓRNIK ŁĘCZNA","GKŁ","202408222212"
"2.36","3.2","3.2","23.08. 20:30","POLONIA WARSZAWA","POL","WARTA POZNAŃ","WAR","202408222212"
"2.18","3.5","3.2","25.08. 12:00","ZNICZ PRUSZKÓW","ZNI","KOTWICA KOŁOBRZEG","KOT","202408222212"
"2.6","3.35","2.65","24.08. 19:35","GKS TYCHY","TYC","BRUK-BET TERMALICA NIECIECZA","BBT","202408222212"
"1.92","3.7","3.7","24.08. 17:00","STAL RZESZÓW","STA","ODRA OPOLE","ODR","202408222212"
"2.05","3.3","3.7","26.08. 19:00","KORONA KIELCE","KOR","PGE FKS STAL MIELEC","STM","202408222213"
"2.46","3.3","2.95","24.08. 14:45","MOTOR LUBLIN","MOT","PUSZCZA NIEPOŁOMICE","PUN","202408222213"
"2.85","3.4","2.47","25.08. 14:45","GKS KATOWICE","GKS","JAGIELLONIA BIAŁYSTOK","JAG","202408222213"
"1.82","3.55","4.5","24.08. 20:15","PIAST GLIWICE","PIA","KGHM ZAGŁĘBIE LUBIN","ZAG","202408222213"
"2.19","3.55","3.2","25.08. 17:30","LECH POZNAŃ","LPO","POGOŃ SZCZECIN","POG","202408222213"
"2.38","3.45","3.05","23.08. 18:00","WIDZEW ŁÓDŹ","WID","RADOMIAK RADOM","RAD","202408222213"
"3.25","3.35","2.25","25.08. 20:15","ŚLĄSK WROCŁAW","ŚLA","LEGIA WARSZAWA","LEG","202408222213"
"2.31","3.35","3.15","24.08. 17:30","CRACOVIA","CRA","GÓRNIK ZABRZE","GÓR","202408222213"
"4.7","3.9","1.75","23.08. 20:30","LECHIA GDAŃSK","LGD","RAKÓW CZĘSTOCHOWA","RCZ","202408222213"
"2.55","3.3","2.7","30.08. 20:30","CHROBRY GŁOGÓW","CHR","POLONIA WARSZAWA","POL","202408270911"
"1.91","3.35","4.2","30.08. 18:00","RAKÓW CZĘSTOCHOWA","RCZ","PIAST GLIWICE","PIA","202408270911"
"2.6","3.3","2.6","30.08. 18:00","ODRA OPOLE","ODR","ŁKS ŁÓDŹ","ŁKS","202408270911"
"2.18","3.3","3.35","31.08. 14:45","PUSZCZA NIEPOŁOMICE","PUN","KORONA KIELCE","KOR","202408270911"
"2.31","3.3","3.1","31.08. 20:15","RADOMIAK RADOM","RAD","CRACOVIA","CRA","202408270911"
"1.88","3.45","4.2","01.09. 12:15","GÓRNIK ZABRZE","GÓR","LECHIA GDAŃSK","LGD","202408270911"
"1.5","4.5","6","01.09. 14:45","LEGIA WARSZAWA","LEG","MOTOR LUBLIN","MOT","202408270911"
"2.11","3.45","3.45","31.08. 17:30","KGHM ZAGŁĘBIE LUBIN","ZAG","GKS KATOWICE","GKS","202408270911"
"2.4","3.25","2.85","31.08. 14:30","WARTA POZNAŃ","WAR","ZNICZ PRUSZKÓW","ZNI","202408270911"
"1.75","3.8","4.4","01.09. 17:30","POGOŃ SZCZECIN","POG","ŚLĄSK WROCŁAW","ŚLA","202408270911"
"1.9","3.5","3.75","31.08. 19:35","RUCH CHORZÓW","RCH","GÓRNIK ŁĘCZNA","GKŁ","202408270911"
"2.55","3.35","2.65","30.08. 20:30","MIEDŹ LEGNICA","MIE","ARKA GDYNIA","ARK","202408270911"
